Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,Country-year,gdp_per_capita ($),Generation
1,2.0,0.0,4.0,0,3738,0.0,24.0,5595,1
1,2.0,0.0,5.0,0,1081,0.0,24.0,5595,1
1,2.0,1.0,0.0,0,7421,0.0,24.0,5595,2
1,2.0,1.0,1.0,0,5893,0.0,24.0,5595,0
1,2.0,1.0,2.0,0,5927,0.0,24.0,5595,5
1,2.0,1.0,3.0,0,6499,0.0,24.0,5595,2
1,2.0,1.0,4.0,0,2798,0.0,24.0,5595,1
1,2.0,1.0,5.0,0,538,0.0,24.0,5595,1
1,3.0,0.0,0.0,0,7413,0.0,25.0,6693,2
1,3.0,0.0,1.0,0,6041,0.0,25.0,6693,0
1,3.0,0.0,2.0,0,6021,0.0,25.0,6693,5
1,3.0,0.0,3.0,0,6527,0.0,25.0,6693,2
1,3.0,0.0,4.0,0,3708,0.0,25.0,6693,1
1,3.0,0.0,5.0,0,1141,0.0,25.0,6693,1
1,3.0,1.0,0.0,0,7209,0.0,25.0,6693,2
1,3.0,1.0,1.0,0,5826,0.0,25.0,6693,0
1,3.0,1.0,2.0,0,5907,0.0,25.0,6693,5
1,3.0,1.0,3.0,0,6355,0.0,25.0,6693,2
1,3.0,1.0,4.0,0,2813,0.0,25.0,6693,1
1,3.0,1.0,5.0,0,603,0.0,25.0,6693,1
1,4.0,0.0,0.0,0,7152,0.0,26.0,7407,2
1,4.0,0.0,1.0,0,6059,0.0,26.0,7407,0
1,4.0,0.0,2.0,0,5969,0.0,26.0,7407,5
1,4.0,0.0,3.0,0,6621,0.0,26.0,7407,2
1,4.0,0.0,4.0,0,3696,0.0,26.0,7407,1
1,4.0,0.0,5.0,0,1195,0.0,26.0,7407,1
1,4.0,1.0,0.0,0,6927,0.0,26.0,7407,2
1,4.0,1.0,1.0,0,5835,0.0,26.0,7407,0
1,4.0,1.0,2.0,0,5862,0.0,26.0,7407,5
1,4.0,1.0,3.0,0,6403,0.0,26.0,7407,2
1,4.0,1.0,4.0,0,2843,0.0,26.0,7407,1
1,4.0,1.0,5.0,0,676,0.0,26.0,7407,1
1,5.0,1.0,2.0,1,5799,17.24,27.0,7744,5
1,5.0,0.0,0.0,0,6827,0.0,27.0,7744,2
1,5.0,0.0,1.0,0,6172,0.0,27.0,7744,0
1,5.0,0.0,2.0,0,5895,0.0,27.0,7744,5
1,5.0,0.0,3.0,0,6877,0.0,27.0,7744,2
1,5.0,0.0,4.0,0,3706,0.0,27.0,7744,1
1,5.0,0.0,5.0,0,1252,0.0,27.0,7744,1
1,5.0,1.0,0.0,0,6598,0.0,27.0,7744,2
1,5.0,1.0,1.0,0,5937,0.0,27.0,7744,0
1,5.0,1.0,3.0,0,6611,0.0,27.0,7744,2
1,5.0,1.0,4.0,0,2902,0.0,27.0,7744,1
1,5.0,1.0,5.0,0,758,0.0,27.0,7744,1
1,6.0,0.0,0.0,0,6595,0.0,28.0,7976,2
1,6.0,0.0,1.0,0,6396,0.0,28.0,7976,0
1,6.0,0.0,2.0,0,6198,0.0,28.0,7976,0
1,6.0,0.0,3.0,0,7089,0.0,28.0,7976,4
1,6.0,0.0,4.0,0,3665,0.0,28.0,7976,5
1,6.0,0.0,5.0,0,1293,0.0,28.0,7976,1
1,6.0,1.0,0.0,0,6401,0.0,28.0,7976,2
1,6.0,1.0,1.0,0,6156,0.0,28.0,7976,0
1,6.0,1.0,2.0,0,6122,0.0,28.0,7976,0
1,6.0,1.0,3.0,0,6818,0.0,28.0,7976,4
1,6.0,1.0,4.0,0,2857,0.0,28.0,7976,5
1,6.0,1.0,5.0,0,804,0.0,28.0,7976,1
1,7.0,0.0,0.0,0,6369,0.0,29.0,8087,2
1,7.0,0.0,1.0,0,6650,0.0,29.0,8087,0
1,7.0,0.0,2.0,0,6534,0.0,29.0,8087,0
1,7.0,0.0,3.0,0,7311,0.0,29.0,8087,4
1,7.0,0.0,4.0,0,3648,0.0,29.0,8087,5
1,7.0,0.0,5.0,0,1339,0.0,29.0,8087,1
1,7.0,1.0,0.0,0,6221,0.0,29.0,8087,2
1,7.0,1.0,1.0,0,6409,0.0,29.0,8087,0
1,7.0,1.0,2.0,0,6497,0.0,29.0,8087,0
1,7.0,1.0,3.0,0,7059,0.0,29.0,8087,4
1,7.0,1.0,4.0,0,2851,0.0,29.0,8087,5
1,7.0,1.0,5.0,0,853,0.0,29.0,8087,1
1,8.0,1.0,1.0,1,6668,15.0,30.0,8453,0
1,8.0,0.0,0.0,0,6182,0.0,30.0,8453,2
1,8.0,0.0,1.0,0,6914,0.0,30.0,8453,0
1,8.0,0.0,2.0,0,6917,0.0,30.0,8453,0
1,8.0,0.0,3.0,0,7529,0.0,30.0,8453,4
1,8.0,0.0,4.0,0,3662,0.0,30.0,8453,5
1,8.0,0.0,5.0,0,1386,0.0,30.0,8453,1
1,8.0,1.0,0.0,0,6069,0.0,30.0,8453,2
1,8.0,1.0,2.0,0,6915,0.0,30.0,8453,0
1,8.0,1.0,3.0,0,7298,0.0,30.0,8453,4
1,8.0,1.0,4.0,0,2879,0.0,30.0,8453,5
1,8.0,1.0,5.0,0,896,0.0,30.0,8453,1
1,9.0,0.0,0.0,0,6083,0.0,31.0,9062,2
1,9.0,0.0,1.0,0,7151,0.0,31.0,9062,0
1,9.0,0.0,2.0,0,7357,0.0,31.0,9062,0
1,9.0,0.0,3.0,0,7722,0.0,31.0,9062,4
1,9.0,0.0,4.0,0,3715,0.0,31.0,9062,5
1,9.0,0.0,5.0,0,1437,0.0,31.0,9062,1
1,9.0,1.0,0.0,0,5976,0.0,31.0,9062,2
1,9.0,1.0,1.0,0,6886,0.0,31.0,9062,0
1,9.0,1.0,2.0,0,7359,0.0,31.0,9062,0
1,9.0,1.0,3.0,0,7494,0.0,31.0,9062,4
1,9.0,1.0,4.0,0,2935,0.0,31.0,9062,5
1,9.0,1.0,5.0,0,929,0.0,31.0,9062,1
1,10.0,0.0,0.0,0,6099,0.0,32.0,8636,2
1,10.0,0.0,1.0,0,7333,0.0,32.0,8636,2
1,10.0,0.0,2.0,0,7851,0.0,32.0,8636,0
1,10.0,0.0,3.0,0,7885,0.0,32.0,8636,4
1,10.0,0.0,4.0,0,3808,0.0,32.0,8636,5
1,10.0,0.0,5.0,0,1488,0.0,32.0,8636,1
1,10.0,1.0,0.0,0,5953,0.0,32.0,8636,2
1,10.0,1.0,1.0,0,7023,0.0,32.0,8636,2
1,10.0,1.0,2.0,0,7809,0.0,32.0,8636,0
1,10.0,1.0,3.0,0,7632,0.0,32.0,8636,4
1,10.0,1.0,4.0,0,3021,0.0,32.0,8636,5
1,10.0,1.0,5.0,0,944,0.0,32.0,8636,1
1,13.0,0.0,0.0,0,6529,0.0,33.0,10078,2
1,13.0,0.0,1.0,0,8332,0.0,33.0,10078,2
1,13.0,0.0,2.0,0,9615,0.0,33.0,10078,0
